A new batch '{0}' has been published that might interest you. Check it out!,"Опубликован новый поток «{0}», который может вас заинтересовать. Загляните!"
A new course '{0}' has been published that might interest you. Check it out!,"Опубликован новый курс «{0}», который может вас заинтересовать. Загляните!"
A new course has been published on {0},Новый курс опубликован на {0}
A short summary of the course for search results.,Краткое описание курса для результатов поиска.
About this course,О курсе
"Access courses, join batches, and track learning progress","Доступ к курсам, участие в потоках и отслеживание прогресса"
Activate this Google Meet account for scheduling meetings.,Активировать этот аккаунт Google Meet для планирования встреч.
Activate this Zoom account for scheduling meetings.,Активировать этот аккаунт Zoom для планирования встреч.
Add New Member,Добавить участника
Add Option,Добавить вариант
Add Possibility,Добавить вариант ответа
Add Question,Добавить вопрос
Add a course to the batch,Добавить курс в поток
Add a question to get started.,"Добавьте вопрос, чтобы начать."
Add new question,Добавить новый вопрос
Add students to the batch to make an announcement,"Добавьте студентов в поток, чтобы сделать объявление"
Add tag,Добавить тег
Allow Job Posting,Разрешить публикацию вакансий
Allow this badge to be awarded to learners.,Разрешить выдавать этот бейдж студентам.
Allow this coupon to be used for discounts.,Разрешить использовать этот купон для скидок.
Allow users to enroll in this batch on their own.,Разрешить пользователям самостоятельно записываться на этот поток.
Allow users to view their past quiz attempts.,Разрешить пользователям просматривать свои прошлые попытки прохождения теста.
Also teaching,Также преподают
Answer a few quick questions so we can set Frappe Learning up for you,"Ответьте на несколько коротких вопросов, чтобы мы настроили Frappe Learning под вас"
"Are you sure you want to clear the demo data? This would delete the course ""A guide  to Frappe Learning"" along with all its associated data. This action cannot be undone.","Вы уверены, что хотите удалить демоданные? Будет удалён курс «A guide  to Frappe Learning» вместе со всеми связанными данными. Это действие нельзя отменить."
Are you sure you want to submit the quiz?,"Вы уверены, что хотите отправить тест?"
As a part of this batch's curriculum you will have to complete the following courses and assessments.,В программе этого потока вам нужно пройти следующие курсы и оценки.
Assignment Progress,Прогресс по заданиям
Assignments deleted successfully,Задания успешно удалены
Attempted Questions,Отвечено вопросов
Average Completion Rate,Средняя доля прохождения
Average Watch Time (mins),Среднее время просмотра (мин)
Award my first certificate,Выдать первый сертификат
Back to previous question,К предыдущему вопросу
Badge assigned successfully,Бейдж успешно назначен
Badge {0} not found,Бейдж {0} не найден
Batch Enrollments,Записи на потоки
Batch Feedback,Отзывы о потоках
Batch created successfully,Поток успешно создан
Batch overview,Обзор потока
Batch published,Поток опубликован
Batch unpublished,Поток снят с публикации
Batch updated successfully,Поток успешно обновлён
Book a free onboarding session with the Frappe team,Записаться на бесплатную вводную встречу с командой Frappe
"Build and manage courses, chapters, and lessons","Создание и ведение курсов, глав и уроков"
Cannot search for roles: {0},Не удалось выполнить поиск по ролям: {0}
Canvas,Canvas
Certificate of completion,Сертификат об окончании
Certificate price,Цена сертификата
Certificates render from a Print Format. Build or customize templates from the desk.,Сертификаты формируются из формата печати. Создавайте и настраивайте шаблоны в интерфейсе Desk.
Certification cannot be issued as the member has not completed the course.,Сертификат нельзя выдать: участник не завершил курс.
Certification cannot be issued as the member is not enrolled in this batch.,Сертификат нельзя выдать: участник не записан на этот поток.
Certification cannot be issued as the member is not enrolled in this course.,Сертификат нельзя выдать: участник не записан на этот курс.
Chapter renamed successfully,Глава успешно переименована
Charge a fee for batch enrollment.,Брать плату за запись на поток.
Charge learners to enroll in this course.,Брать плату за запись на этот курс.
Checkout the batch,Перейти к потоку
Checkout the course,Перейти к курсу
Choose a payment provider to configure its credentials.,"Выберите платёжного провайдера, чтобы настроить его доступы."
Click to upload an image.,"Нажмите, чтобы загрузить изображение."
Close student view,Выйти из режима студента
Coaching or Training Institute,Курсы или учебный центр
College or University,Колледж или университет
Comma separated keywords,Ключевые слова через запятую
Company or Workplace,Компания или рабочее место
Complete your profile,Заполните профиль
Completion Rate,Доля прохождения
Completion certificate,Сертификат об окончании
Conferencing,Видеосвязь
Conferencing Provider,Сервис видеосвязи
Configure the credentials and options for this payment gateway.,Настройте доступы и параметры этого платёжного шлюза.
"Configure your Brand Name, Logo, and Favicon","Настройте название бренда, логотип и фавикон"
Confirm Cancellation?,Подтвердить отмену?
Confirm Your Action,Подтвердите действие
Confirm clearing demo data?,Удалить демоданные?
Connect a Google Meet account to schedule and host live classes.,"Подключите аккаунт Google Meet, чтобы планировать и проводить онлайн-уроки."
Connect a Zoom account to schedule and host live classes.,"Подключите аккаунт Zoom, чтобы планировать и проводить онлайн-уроки."
Could not create the course ZIP file. Please try again later. Error: {0},Не удалось создать ZIP-файл курса. Попробуйте позже. Ошибка: {0}
Could not delete the quiz,Не удалось удалить тест
Could not update publish status,Не удалось изменить статус публикации
Coupon updated successfully,Купон успешно обновлён
Course Content coming soon!,Содержание курса скоро появится!
Course Progress,Прогресс по курсу
Course Reviews,Отзывы о курсах
Course added to batch successfully,Курс успешно добавлен в поток
Course content,Содержание курса
Course creator,Автор курса
Course description,Описание курса
Course details,Сведения о курсе
Course editor,Редактор курса
Course or Batch is required to issue a certificate.,"Чтобы выдать сертификат, нужно указать курс или поток."
Course overview,Обзор курса
Course price,Цена курса
Course published,Курс опубликован
Course thumbnail,Обложка курса
Course unpublished,Курс снят с публикации
Create a reusable email template for your notifications.,Создайте многоразовый шаблон письма для ваших уведомлений.
Create and manage reusable email templates for your notifications.,Создавайте и ведите многоразовые шаблоны писем для ваших уведомлений.
Create chapter,Создать главу
Curriculum,Программа обучения
Customer Academy,Академия для клиентов
Deduct marks for incorrect answers.,Снимать баллы за неверные ответы.
Default Sending & Inbox,Отправка и входящие по умолчанию
Define a badge and the criteria for awarding it to learners.,Опишите бейдж и условия его выдачи студентам.
Delete quiz,Удалить тест
Delete this quiz?,Удалить этот тест?
Delete user,Удалить пользователя
"Deleting these exercises will permanently remove them from the system, along with all associated submissions. This action is irreversible. Are you sure you want to proceed?",Удаление этих упражнений навсегда уберёт их из системы вместе со всеми отправленными работами. Это действие необратимо. Продолжить?
Deleting this quiz permanently removes it and its submissions. This action cannot be undone. Are you sure you want to continue?,Удаление теста навсегда уберёт его и все отправленные по нему работы. Это действие нельзя отменить. Продолжить?
Deletion not allowed for {0},Удаление {0} запрещено
Demo Data Present,Демоданные загружены
Demo data cleared successfully,Демоданные успешно удалены
Details cannot be empty.,Описание не может быть пустым.
Display correct answers after each question is attempted.,Показывать правильные ответы после каждого отвеченного вопроса.
"Do not refresh the page or close this window. If you do, the quiz will be submitted automatically.",Не обновляйте страницу и не закрывайте это окно. Иначе тест будет отправлен автоматически.
"Drag and drop a ZIP file, or upload from your",Перетащите ZIP-файл или загрузите со своего
Duplicate Template,Дублировать шаблон
Each user can only receive this badge one time.,Каждый пользователь может получить этот бейдж только один раз.
Edit Google Meet Account,Изменить аккаунт Google Meet
Edit Member,Изменить участника
Edit Question,Изменить вопрос
Edit lesson,Изменить урок
Edit member,Изменить участника
Edit your reusable email template.,Отредактируйте свой многоразовый шаблон письма.
Email Account deleted successfully,Почтовый аккаунт успешно удалён
Email Template deleted successfully,Шаблон письма успешно удалён
Email is required,Укажите email
Email service {0} is not supported,Почтовый сервис {0} не поддерживается
Enable evaluations for batch participants.,Включить оценки для участников потока.
Enforce Assignment Completion,Требовать выполнения заданий
Enforce Quiz Completion,Требовать прохождения тестов
Enforce Video Completion,Требовать полного просмотра видео
Enroll,Записаться
Enroll a Student,Записать студента
Enroll for Free,Записаться бесплатно
Enroll students to track their progress here.,"Запишите студентов, чтобы отслеживать их прогресс здесь."
Enrolled On,Дата записи
Enrollment & Certification,Запись и сертификация
Enrollment Confirmation Email Template,Шаблон письма о подтверждении записи
Enter Brand Name,Введите название бренда
Error Uploading File,Ошибка при загрузке файла
Error creating Google Meet Account,Ошибка при создании аккаунта Google Meet
Error creating batch,Ошибка при создании потока
Error deleting Google Meet Account,Ошибка при удалении аккаунта Google Meet
Error deleting email account,Ошибка при удалении почтового аккаунта
Error deleting email template,Ошибка при удалении шаблона письма
Error deleting payment gateways,Ошибка при удалении платёжных шлюзов
Error downloading file,Ошибка при скачивании файла
Error updating Google Meet Account,Ошибка при обновлении аккаунта Google Meet
Error uploading file,Ошибка при загрузке файла
Evaluation Requests,Запросы на оценку
Evaluation cancelled successfully,Оценка успешно отменена
Evaluations,Оценки
Exercise deleted successfully,Упражнение успешно удалено
Failed to assign badge,Не удалось назначить бейдж
Failed to refresh session,Не удалось обновить сессию
File type of {0} is not allowed in quiz answers.,Файлы типа {0} нельзя прикреплять к ответам на тест.
File upload failed. Please try again.,Не удалось загрузить файл. Попробуйте ещё раз.
Frappe Learning,Frappe Learning
Get the Payments app,Установить приложение Payments
Google Classroom,Google Classroom
Google Meet,Google Meet
Google Meet Account,Аккаунт Google Meet
Google Meet Account created successfully,Аккаунт Google Meet успешно создан
Google Meet Account deleted successfully,Аккаунт Google Meet успешно удалён
